"Click here if you are not redirected within 10 seconds...","Натисніть тут якщо ви не будете перенаправлені через 10 секунд..."
"Payment confirmed by PayMaster","Платіж підтверджений від PayMasterUA"
"Payment was fail. Please try again later.","Не вдалося провести платіж. Будь ласка спробуйте пізніше."
"You will be redirected to the PayMaster website in a few seconds.","Ви будете перенаправлені на сайт PayMasterUA за декілька секунд."
