"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds..."
"Payment confirmed by PayMaster","Payment confirmed by PayMaster"
"Payment was fail. Pleas try again later.","Payment was fail. Pleas try again later."
"You will be redirected to the PayMaster website in a few seconds.","You will be redirected to the PayMaster website in a few seconds."
